distance,timestamp,enhanced_altitude,enhanced_speed,gps_accuracy,position_lat,position_long,speed,heart_rate
,2022-06-10 14:29:00,179.79999999999995,1.965,1.0,207790466.0,1226279586.0,1.965,
350.13,2022-06-10 14:29:01,179.79999999999995,1.991,1.0,207790671.0,1226279647.0,1.991,
,2022-06-10 14:29:02,179.79999999999995,2.049,1.0,207790879.0,1226279714.0,2.049,128.0
,2022-06-10 14:29:03,179.79999999999995,2.044,1.0,207791089.0,1226279782.0,2.044,
355.45,2022-06-10 14:29:04,179.79999999999995,1.926,1.0,207791292.0,1226279849.0,1.926,
,2022-06-10 14:29:05,179.79999999999995,1.849,1.0,207791482.0,1226279925.0,1.849,
360.82,2022-06-10 14:29:06,179.79999999999995,1.794,1.0,207791661.0,1226280008.0,1.794,
,2022-06-10 14:29:07,179.79999999999995,1.761,1.0,207791837.0,1226280086.0,1.761,
,2022-06-10 14:29:08,179.79999999999995,1.79,1.0,207792017.0,1226280153.0,1.79,126.0
365.17,2022-06-10 14:29:09,179.79999999999995,1.794,1.0,207792201.0,1226280215.0,1.794,
,2022-06-10 14:29:10,179.79999999999995,1.755,1.0,207792381.0,1226280284.0,1.755,
369.28,2022-06-10 14:29:11,179.79999999999995,1.851,1.0,207792560.0,1226280362.0,1.851,127.0
,2022-06-10 14:29:12,179.79999999999995,1.854,1.0,207792743.0,1226280445.0,1.854,
,2022-06-10 14:29:13,179.79999999999995,1.862,1.0,207792929.0,1226280521.0,1.862,
374.54,2022-06-10 14:29:14,179.79999999999995,1.953,1.0,207793124.0,1226280586.0,1.953,
,2022-06-10 14:29:15,179.79999999999995,1.956,1.0,207793327.0,1226280645.0,1.956,
378.81,2022-06-10 14:29:16,179.79999999999995,1.962,1.0,207793529.0,1226280706.0,1.962,126.0
,2022-06-10 14:29:17,179.79999999999995,1.99,1.0,207793730.0,1226280777.0,1.99,
,2022-06-10 14:29:18,179.79999999999995,1.94,1.0,207793930.0,1226280852.0,1.94,
384.04,2022-06-10 14:29:19,179.79999999999995,2.045,1.0,207794132.0,1226280928.0,2.045,
,2022-06-10 14:29:20,179.79999999999995,2.003,1.0,207794337.0,1226281002.0,2.003,
,2022-06-10 14:29:21,179.60000000000002,1.932,1.0,207794540.0,1226281066.0,1.932,
389.47,2022-06-10 14:29:22,179.60000000000002,1.871,1.0,207794736.0,1226281127.0,1.871,
,2022-06-10 14:29:23,179.60000000000002,1.772,1.0,207794923.0,1226281188.0,1.772,
394.2,2022-06-10 14:29:24,179.60000000000002,1.739,1.0,207795103.0,1226281249.0,1.739,129.0
,2022-06-10 14:29:25,179.60000000000002,1.767,1.0,207795282.0,1226281310.0,1.767,
,2022-06-10 14:29:26,179.60000000000002,1.804,1.0,207795466.0,1226281369.0,1.804,
398.21,2022-06-10 14:29:27,179.60000000000002,1.906,1.0,207795655.0,1226281435.0,1.906,129.0
,2022-06-10 14:29:28,179.60000000000002,1.91,1.0,207795848.0,1226281509.0,1.91,
403.49,2022-06-10 14:29:29,179.60000000000002,1.785,1.0,207796036.0,1226281575.0,1.785,
,2022-06-10 14:29:30,179.60000000000002,1.788,1.0,207796223.0,1226281620.0,1.788,
,2022-06-10 14:29:31,179.60000000000002,1.866,1.0,207796418.0,1226281649.0,1.866,
407.7,2022-06-10 14:29:32,179.60000000000002,1.905,1.0,207796620.0,1226281667.0,1.905,
,2022-06-10 14:29:33,179.60000000000002,1.957,1.0,207796828.0,1226281664.0,1.957,
412.87,2022-06-10 14:29:34,179.60000000000002,1.974,1.0,207797037.0,1226281630.0,1.974,129.0
,2022-06-10 14:29:35,179.60000000000002,1.967,1.0,207797242.0,1226281574.0,1.967,
,2022-06-10 14:29:36,179.60000000000002,1.957,1.0,207797445.0,1226281509.0,1.957,
417.78,2022-06-10 14:29:37,179.60000000000002,1.951,1.0,207797643.0,1226281434.0,1.951,
,2022-06-10 14:29:38,179.60000000000002,1.959,1.0,207797836.0,1226281346.0,1.959,
423.0,2022-06-10 14:29:39,179.60000000000002,1.956,1.0,207798026.0,1226281250.0,1.956,129.0
,2022-06-10 14:29:40,179.60000000000002,1.895,1.0,207798214.0,1226281158.0,1.895,
,2022-06-10 14:29:41,179.60000000000002,1.818,1.0,207798398.0,1226281074.0,1.818,
427.78,2022-06-10 14:29:42,179.60000000000002,1.882,1.0,207798586.0,1226281006.0,1.882,
,2022-06-10 14:29:43,179.60000000000002,1.889,1.0,207798782.0,1226280950.0,1.889,127.0
,2022-06-10 14:29:44,179.60000000000002,1.82,1.0,207798977.0,1226280903.0,1.82,
432.98,2022-06-10 14:29:45,179.60000000000002,1.86,1.0,207799170.0,1226280856.0,1.86,
,2022-06-10 14:29:46,179.60000000000002,1.872,1.0,207799364.0,1226280803.0,1.872,
437.49,2022-06-10 14:29:47,179.60000000000002,1.922,1.0,207799557.0,1226280735.0,1.922,
,2022-06-10 14:29:48,179.60000000000002,2.015,1.0,207799749.0,1226280641.0,2.015,
,2022-06-10 14:29:49,179.60000000000002,1.971,1.0,207799937.0,1226280533.0,1.971,
442.05,2022-06-10 14:29:50,179.60000000000002,1.948,1.0,207800125.0,1226280431.0,1.948,124.0
,2022-06-10 14:29:51,179.60000000000002,1.956,1.0,207800318.0,1226280345.0,1.956,
446.94,2022-06-10 14:29:52,179.60000000000002,1.879,1.0,207800513.0,1226280273.0,1.879,
,2022-06-10 14:29:53,179.60000000000002,1.888,1.0,207800707.0,1226280208.0,1.888,
,2022-06-10 14:29:54,179.60000000000002,1.888,1.0,207800900.0,1226280140.0,1.888,124.0
451.83,2022-06-10 14:29:55,179.39999999999998,1.804,1.0,207801085.0,1226280063.0,1.804,
,2022-06-10 14:29:56,179.39999999999998,1.77,1.0,207801262.0,1226279982.0,1.77,
456.38,2022-06-10 14:29:57,179.39999999999998,1.799,1.0,207801437.0,1226279899.0,1.799,125.0
,2022-06-10 14:29:58,179.39999999999998,1.779,1.0,207801612.0,1226279815.0,1.779,
,2022-06-10 14:29:59,179.39999999999998,1.861,1.0,207801794.0,1226279736.0,1.861,
460.49,2022-06-10 14:30:00,179.39999999999998,1.948,1.0,207801986.0,1226279662.0,1.948,
,2022-06-10 14:30:01,179.39999999999998,1.954,1.0,207802185.0,1226279590.0,1.954,127.0
466.1,2022-06-10 14:30:02,179.39999999999998,1.95,1.0,207802384.0,1226279519.0,1.95,
,2022-06-10 14:30:03,179.20000000000005,1.905,1.0,207802578.0,1226279443.0,1.905,
,2022-06-10 14:30:04,179.20000000000005,1.893,1.0,207802766.0,1226279358.0,1.893,
470.9,2022-06-10 14:30:05,179.20000000000005,1.904,1.0,207802949.0,1226279264.0,1.904,
,2022-06-10 14:30:06,179.20000000000005,1.877,1.0,207803128.0,1226279164.0,1.877,127.0
,2022-06-10 14:30:07,179.0,1.901,1.0,207803307.0,1226279062.0,1.901,
475.77,2022-06-10 14:30:08,179.0,1.9,1.0,207803483.0,1226278954.0,1.9,
,2022-06-10 14:30:09,179.0,1.86,1.0,207803648.0,1226278832.0,1.86,
480.88,2022-06-10 14:30:10,179.0,1.909,1.0,207803797.0,1226278689.0,1.909,
,2022-06-10 14:30:11,178.79999999999995,1.951,1.0,207803925.0,1226278519.0,1.951,
,2022-06-10 14:30:12,178.79999999999995,2.009,1.0,207804028.0,1226278324.0,2.009,127.0
485.78,2022-06-10 14:30:13,178.79999999999995,2.061,1.0,207804114.0,1226278114.0,2.061,
,2022-06-10 14:30:14,178.60000000000002,2.037,1.0,207804189.0,1226277897.0,2.037,
490.71,2022-06-10 14:30:15,178.60000000000002,2.077,1.0,207804254.0,1226277677.0,2.077,
