distance,timestamp,altitude,calories,enhanced_altitude,heart_rate,position_lat,position_long,cadence,fractional_cadence,enhanced_speed,power,speed
274.6,2024-09-21 20:33:06,7.199999999999989,0.0,7.199999999999989,,163700887.0,1199721497.0,94.0,0.0,3.401,295.0,3.401
277.85,2024-09-21 20:33:07,7.399999999999977,0.0,7.399999999999977,,163700522.0,1199721376.0,94.0,0.0,,,
281.09,2024-09-21 20:33:08,7.399999999999977,0.0,7.399999999999977,,163700155.0,1199721251.0,94.0,0.0,,,
284.34,2024-09-21 20:33:09,7.399999999999977,0.0,7.399999999999977,,163699786.0,1199721125.0,82.0,0.0,3.422,297.0,3.422
289.06,2024-09-21 20:33:10,7.399999999999977,0.0,7.399999999999977,166.0,163699415.0,1199720997.0,82.0,0.0,,,
293.79,2024-09-21 20:33:11,7.399999999999977,0.0,7.399999999999977,,163699047.0,1199720869.0,82.0,0.0,3.481,301.0,3.481
296.5,2024-09-21 20:33:12,7.399999999999977,0.0,7.399999999999977,,163698682.0,1199720742.0,82.0,0.0,,,
299.21,2024-09-21 20:33:13,7.399999999999977,0.0,7.399999999999977,,163698317.0,1199720615.0,82.0,0.0,,,
301.92,2024-09-21 20:33:14,7.399999999999977,0.0,7.399999999999977,166.0,163697952.0,1199720487.0,82.0,0.0,3.48,301.0,3.48
304.85,2024-09-21 20:33:15,7.399999999999977,0.0,7.399999999999977,,163697584.0,1199720357.0,82.0,0.0,,,
307.78,2024-09-21 20:33:16,7.399999999999977,0.0,7.399999999999977,,163697215.0,1199720227.0,82.0,0.0,,,
310.7,2024-09-21 20:33:17,7.399999999999977,0.0,7.399999999999977,,163696844.0,1199720099.0,94.0,0.0,3.492,302.0,3.492
315.63,2024-09-21 20:33:18,7.399999999999977,0.0,7.399999999999977,,163696474.0,1199719973.0,94.0,0.0,,,
320.56,2024-09-21 20:33:19,7.399999999999977,0.0,7.399999999999977,165.0,163696103.0,1199719847.0,82.0,0.0,3.506,303.0,3.506
323.4,2024-09-21 20:33:20,7.399999999999977,0.0,7.399999999999977,,163695733.0,1199719720.0,82.0,0.0,,,
326.23,2024-09-21 20:33:21,7.399999999999977,0.0,7.399999999999977,,163695365.0,1199719589.0,82.0,0.0,,,
329.07,2024-09-21 20:33:22,7.399999999999977,0.0,7.399999999999977,,163694997.0,1199719455.0,82.0,0.0,3.494,302.0,3.494
333.48,2024-09-21 20:33:23,7.600000000000023,0.0,7.600000000000023,,163694629.0,1199719320.0,82.0,0.0,,,
337.9,2024-09-21 20:33:24,7.600000000000023,0.0,7.600000000000023,,163694259.0,1199719184.0,82.0,0.0,3.501,302.0,3.501
340.8,2024-09-21 20:33:25,7.600000000000023,0.0,7.600000000000023,165.0,163693886.0,1199719046.0,82.0,0.0,,,
343.71,2024-09-21 20:33:26,7.600000000000023,0.0,7.600000000000023,,163693511.0,1199718905.0,82.0,0.0,,,
346.62,2024-09-21 20:33:27,7.600000000000023,0.0,7.600000000000023,,163693135.0,1199718764.0,94.0,0.0,3.51,303.0,3.51
351.95,2024-09-21 20:33:28,7.600000000000023,0.0,7.600000000000023,,163692756.0,1199718626.0,94.0,0.0,,,
357.28,2024-09-21 20:33:29,7.600000000000023,0.0,7.600000000000023,,163692375.0,1199718492.0,82.0,0.0,3.542,304.0,3.542
360.24,2024-09-21 20:33:30,7.600000000000023,0.0,7.600000000000023,165.0,163691993.0,1199718360.0,82.0,0.0,,,
363.2,2024-09-21 20:33:31,7.600000000000023,0.0,7.600000000000023,,163691613.0,1199718224.0,82.0,0.0,,,
366.16,2024-09-21 20:33:32,7.800000000000011,0.0,7.800000000000011,,163691235.0,1199718087.0,82.0,0.0,3.548,303.0,3.548
370.72,2024-09-21 20:33:33,7.800000000000011,0.0,7.800000000000011,,163690855.0,1199717950.0,82.0,0.0,,,
375.28,2024-09-21 20:33:34,7.800000000000011,0.0,7.800000000000011,166.0,163690474.0,1199717815.0,94.0,0.0,3.56,303.0,3.56
378.72,2024-09-21 20:33:35,7.800000000000011,0.0,7.800000000000011,,163690091.0,1199717684.0,94.0,0.0,,,
382.16,2024-09-21 20:33:36,7.800000000000011,0.0,7.800000000000011,,163689707.0,1199717553.0,94.0,0.0,,,
385.6,2024-09-21 20:33:37,8.0,0.0,8.0,,163689323.0,1199717422.0,82.0,0.0,3.579,304.0,3.579
388.78,2024-09-21 20:33:38,8.0,0.0,8.0,,163688936.0,1199717288.0,82.0,0.0,,,
391.97,2024-09-21 20:33:39,8.0,0.0,8.0,,163688548.0,1199717152.0,82.0,0.0,,,
395.15,2024-09-21 20:33:40,8.0,0.0,8.0,166.0,163688158.0,1199717015.0,82.0,0.0,3.611,252.0,3.611
399.86,2024-09-21 20:33:41,8.199999999999989,0.0,8.199999999999989,,163687767.0,1199716883.0,82.0,0.0,,,
404.56,2024-09-21 20:33:42,8.199999999999989,0.0,8.199999999999989,166.0,163687378.0,1199716753.0,82.0,0.0,3.628,254.0,3.628
407.47,2024-09-21 20:33:43,8.199999999999989,0.0,8.199999999999989,,163686989.0,1199716621.0,82.0,0.0,,,
410.37,2024-09-21 20:33:44,8.399999999999977,0.0,8.399999999999977,,163686602.0,1199716489.0,82.0,0.0,,,
413.28,2024-09-21 20:33:45,8.399999999999977,0.0,8.399999999999977,,163686215.0,1199716357.0,94.0,0.0,3.635,254.0,3.635
418.4,2024-09-21 20:33:46,8.600000000000023,0.0,8.600000000000023,,163685831.0,1199716224.0,94.0,0.0,,,
423.52,2024-09-21 20:33:47,8.600000000000023,0.0,8.600000000000023,,163685451.0,1199716091.0,82.0,0.0,3.631,254.0,3.631
